Datetime,Search,Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words
52:18.2,disney,11,155.1900024,0,0,,,
57:59.4,disney,8,155.1900024,0,0,,,
06:13.6,disney,12,155.1900024,1,1,,,
14:24.7,disney,13,155.1900024,0,1,,,
20:08.9,disney,14,155.1900024,0,1,,,
28:23.5,disney,15,155.1900024,0,1,,,
34:04.6,disney,15,155.1900024,0,1,,,
41:00.9,disney,13,155.1900024,0,1,,,
46:12.1,disney,11,155.1900024,0,1,,,
51:52.4,disney,13,155.1900024,1,1,,,
58:48.0,disney,13,155.1900024,1,0,,,
06:02.0,disney,15,155.1900024,1,0,,,
14:14.6,disney,14,155.1900024,1,0,,,
19:57.5,disney,10,155.1900024,1,0,,,
26:54.4,disney,10,155.1900024,1,0,,,
32:35.4,disney,9,155.1900024,1,0,,,
38:15.9,disney,11,155.1900024,1,0,,,
47:42.9,disney,10,155.1900024,1,0,,,
57:10.7,disney,8,155.1900024,1,0,,,
04:38.2,disney,16,155.1900024,2,1,,,
11:40.5,disney,21,155.1900024,2,1,,,
19:56.5,disney,23,155.1900024,2,1,,,
28:08.6,disney,21,155.1900024,2,1,,,
35:57.5,disney,20,155.1900024,2,0,,,
42:53.1,disney,19,155.1900024,2,0,,,
51:06.6,disney,20,155.1900024,4,0,,,
56:46.5,disney,19,155.1900024,4,0,,,
03:56.3,disney,19,155.1900024,4,0,,,
11:37.1,disney,21,155.1900024,3,0,,,
17:17.5,disney,19,155.1900024,3,0,,,
24:13.1,disney,19,155.1900024,4,1,,,
31:11.0,disney,19,155.1900024,2,0,,,
36:51.1,disney,23,155.1900024,8,1,,,
44:28.6,disney,25,155.1900024,8,2,,,
51:25.4,disney,25,155.1900024,6,2,,,
57:07.3,disney,24,155.1900024,6,2,,,
02:48.8,disney,28,155.1900024,7,1,,,
08:31.0,disney,27,155.1900024,7,1,,,
15:28.6,disney,28,155.1900024,8,2,,,
21:09.8,disney,27,155.1900024,8,3,,,
26:52.7,disney,26,155.1900024,5,3,,,
32:33.6,disney,26,155.1900024,2,2,,,
38:13.2,disney,26,155.1900024,2,2,,,
46:26.0,disney,29,155.1900024,2,2,,,
55:55.3,disney,25,155.1900024,2,2,,,
03:27.1,disney,28,155.1900024,4,3,,,
10:43.3,disney,26,155.1900024,5,3,,,
17:47.5,disney,21,155.1900024,5,1,,,
23:35.0,disney,24,155.1900024,7,1,,,
29:20.5,disney,26,155.1900024,8,1,,,
35:07.8,disney,25,155.1900024,9,2,,,
40:53.5,disney,21,155.1900024,9,2,,,
48:50.4,disney,19,155.1900024,8,1,,,
57:03.7,disney,22,155.1900024,8,2,,,
44:30.0,disney,31,156.0599976,6,3,,,
19:47.0,disney,22,154.2749939,2,1,,,
25:19.2,disney,25,154.9799957,2,1,,,
31:43.1,disney,25,155.546402,2,1,,,
38:04.4,disney,28,155.8650055,5,1,,,
43:36.6,disney,29,155.7599945,5,1,,,
50:24.8,disney,28,156.022995,4,1,,,
55:55.8,disney,30,156.0099945,6,2,,,
05:14.1,disney,37,155.8000031,7,2,,,
10:46.3,disney,34,156.4400024,7,2,,,
17:12.6,disney,34,156.6499939,8,1,,,
22:45.4,disney,35,156.6629944,8,1,,,
28:17.7,disney,33,156.2899933,8,1,,,
33:50.7,disney,27,155.9799957,6,1,,,
