Datetime,Search,Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids
02:04.2,trans+global+group+inc,0,0.0154,,,
07:38.4,trans+global+group+inc,0,0.0154,,,
13:11.5,trans+global+group+inc,0,0.0154,,,
18:46.2,trans+global+group+inc,0,0.0154,,,
24:18.2,trans+global+group+inc,0,0.0154,,,
29:48.7,trans+global+group+inc,0,0.0154,,,
35:17.4,trans+global+group+inc,0,0.0154,,,
40:47.3,trans+global+group+inc,0,0.0154,,,
46:16.8,trans+global+group+inc,0,0.0154,,,
51:46.1,trans+global+group+inc,0,0.0154,,,
57:16.1,trans+global+group+inc,0,0.0154,,,
02:44.9,trans+global+group+inc,0,0.0154,,,
08:13.7,trans+global+group+inc,0,0.0154,,,
13:45.8,trans+global+group+inc,0,0.0154,,,
19:14.6,trans+global+group+inc,0,0.0154,,,
24:44.5,trans+global+group+inc,0,0.0154,,,
30:13.8,trans+global+group+inc,0,0.0154,,,
35:42.2,trans+global+group+inc,0,0.0154,,,
41:10.3,trans+global+group+inc,0,0.0154,,,
47:53.8,trans+global+group+inc,0,0.0154,,,
54:39.8,trans+global+group+inc,1,0.0154,,,
00:13.6,trans+global+group+inc,1,0.0154,,,
05:54.8,trans+global+group+inc,1,0.0154,,,
11:27.7,trans+global+group+inc,1,0.0154,,,
16:59.0,trans+global+group+inc,1,0.0154,,,
35:26.4,trans+global+group+inc,1,0.0154,,,
40:55.1,trans+global+group+inc,0,0.0154,,,
46:24.6,trans+global+group+inc,0,0.0154,,,
53:09.6,trans+global+group+inc,0,0.0154,,,
06:19.0,trans+global+group+inc,0,0.0154,,,
14:21.2,trans+global+group+inc,0,0.0154,,,
19:50.2,trans+global+group+inc,0,0.0154,,,
25:19.3,trans+global+group+inc,0,0.0154,,,
39:23.3,trans+global+group+inc,1,0.0154,,,
44:51.6,trans+global+group+inc,1,0.0154,,,
03:08.7,trans+global+group+inc,1,0.0154,,,
08:40.3,trans+global+group+inc,1,0.0154,,,
15:25.4,trans+global+group+inc,1,0.0154,,,
22:11.1,trans+global+group+inc,1,0.0154,,,
27:40.6,trans+global+group+inc,1,0.0154,,,
33:09.6,trans+global+group+inc,1,0.0154,,,
38:38.4,trans+global+group+inc,1,0.0154,,,
46:52.4,trans+global+group+inc,2,0.0154,,,
00:12.5,trans+global+group+inc,1,0.0154,,,
13:16.3,trans+global+group+inc,1,0.0154,,,
18:45.8,trans+global+group+inc,1,0.0154,,,
24:18.6,trans+global+group+inc,1,0.0154,,,
31:03.0,trans+global+group+inc,1,0.0154,,,
36:33.2,trans+global+group+inc,0,0.0154,,,
48:33.0,trans+global+group+inc,0,0.0154,,,
54:04.0,trans+global+group+inc,0,0.0154,,,
00:47.7,trans+global+group+inc,0,0.0154,,,
07:34.1,trans+global+group+inc,0,0.0154,,,
14:21.0,trans+global+group+inc,0,0.0154,,,
19:50.1,trans+global+group+inc,0,0.0154,,,
25:20.6,trans+global+group+inc,1,0.0154,,,
30:51.1,trans+global+group+inc,1,0.0154,,,
37:36.7,trans+global+group+inc,1,0.0154,,,
43:06.2,trans+global+group+inc,1,0.0154,,,
48:36.4,trans+global+group+inc,1,0.0154,,,
54:08.4,trans+global+group+inc,1,0.0154,,,
59:38.3,trans+global+group+inc,1,0.0154,,,
05:09.2,trans+global+group+inc,2,0.0154,,,
10:40.3,trans+global+group+inc,2,0.0154,,,
16:12.2,trans+global+group+inc,2,0.0154,,,
21:43.4,trans+global+group+inc,1,0.0154,,,
28:30.0,trans+global+group+inc,1,0.0154,,,
34:02.8,trans+global+group+inc,1,0.0154,,,
39:35.2,trans+global+group+inc,1,0.0154,,,
45:04.8,trans+global+group+inc,1,0.0154,,,
50:35.7,trans+global+group+inc,1,0.0154,,,
59:52.8,trans+global+group+inc,0,0.0154,,,
05:25.5,trans+global+group+inc,0,0.0154,,,
10:58.3,trans+global+group+inc,0,0.0154,,,
16:30.2,trans+global+group+inc,0,0.0154,,,
23:18.1,trans+global+group+inc,1,0.0154,,,
42:13.7,trans+global+group+inc,1,0.0154,,,
47:45.1,trans+global+group+inc,1,0.0154,,,
55:49.9,trans+global+group+inc,1,0.0154,,,
09:07.6,trans+global+group+inc,2,0.0154,,,
14:40.6,trans+global+group+inc,2,0.0154,,,
20:11.3,trans+global+group+inc,1,0.0154,,,
25:43.8,trans+global+group+inc,1,0.0154,,,
31:14.6,trans+global+group+inc,1,0.0154,,,
36:44.3,trans+global+group+inc,1,0.0154,,,
47:38.9,trans+global+group+inc,0,0.015699999,,,
53:09.5,trans+global+group+inc,0,0.01485,,,
58:39.6,trans+global+group+inc,0,0.01475,,,
04:09.5,trans+global+group+inc,0,0.0145,,,
09:43.4,trans+global+group+inc,0,0.0147,,,
23:00.8,trans+global+group+inc,0,0.0148,,,
28:32.2,trans+global+group+inc,0,0.015,,,
34:04.8,trans+global+group+inc,0,0.0151,,,
39:38.6,trans+global+group+inc,0,0.0151,,,
45:09.1,trans+global+group+inc,0,0.0148,,,
50:39.1,trans+global+group+inc,0,0.0146,,,
56:09.3,trans+global+group+inc,0,0.0146,,,
01:41.3,trans+global+group+inc,0,0.0151,,,
08:28.3,trans+global+group+inc,0,0.0148,,,
15:15.4,trans+global+group+inc,0,0.0148,,,
22:02.2,trans+global+group+inc,0,0.0148,,,
27:34.1,trans+global+group+inc,0,0.0148,,,
33:03.9,trans+global+group+inc,0,0.0147,,,
38:33.8,trans+global+group+inc,0,0.0147,,,
45:19.1,trans+global+group+inc,0,0.01455,,,
50:48.8,trans+global+group+inc,0,0.015,,,
56:19.0,trans+global+group+inc,0,0.0148,,,
10:01.1,trans+global+group+inc,0,0.015,,,
15:32.8,trans+global+group+inc,0,0.0154,,,
48:22.1,trans+global+group+inc,0,0.0154,,,
01:47.2,trans+global+group+inc,0,0.0154,,,
19:28.3,trans+global+group+inc,0,0.01515,,,
31:39.4,trans+global+group+inc,0,0.01525,,,
37:11.0,trans+global+group+inc,0,0.01525,,,
42:41.6,trans+global+group+inc,0,0.0153,,,
48:15.4,trans+global+group+inc,0,0.01485,,,
00:08.4,trans+global+group+inc,0,0.0154,,,
06:54.5,trans+global+group+inc,0,0.0154,,,
12:24.8,trans+global+group+inc,0,0.0151,,,
20:25.9,trans+global+group+inc,0,0.015,,,
25:55.7,trans+global+group+inc,0,0.0149,,,
31:25.9,trans+global+group+inc,0,0.015,,,
09:01.0,trans+global+group+inc,1,0.015,,,
14:30.9,trans+global+group+inc,1,0.015,,,
32:51.6,trans+global+group+inc,1,0.01505,,,
44:49.5,trans+global+group+inc,0,0.0145,,,
50:22.5,trans+global+group+inc,0,0.0149,,,
09:59.4,trans+global+group+inc,0,0.0149,,,
15:30.5,trans+global+group+inc,0,0.0149,,,
21:01.7,trans+global+group+inc,0,0.0149,,,
26:32.6,trans+global+group+inc,0,0.0149,,,
32:03.8,trans+global+group+inc,0,0.0149,,,
37:35.3,trans+global+group+inc,0,0.0149,,,
44:22.9,trans+global+group+inc,0,0.0149,,,
16:17.4,trans+global+group+inc,0,0.0149,,,
32:19.8,trans+global+group+inc,0,0.0149,,,
37:51.1,trans+global+group+inc,0,0.0149,0,0,
43:22.5,trans+global+group+inc,0,0.0149,0,0,
52:42.1,trans+global+group+inc,0,0.0149,0,0,
58:13.3,trans+global+group+inc,0,0.0149,0,0,
06:16.3,trans+global+group+inc,0,0.0149,0,0,
39:07.2,trans+global+group+inc,0,0.0149,0,0,
45:53.5,trans+global+group+inc,0,0.0149,0,0,
19:30.5,trans+global+group+inc,0,0.0149,0,0,
25:19.9,trans+global+group+inc,0,0.0149,0,0,
31:03.8,trans+global+group+inc,0,0.0149,0,0,
36:47.7,trans+global+group+inc,0,0.0149,0,0,
44:01.3,trans+global+group+inc,0,0.0149,0,0,
50:59.3,trans+global+group+inc,0,0.0149,0,0,
56:38.9,trans+global+group+inc,0,0.0149,0,0,
02:25.5,trans+global+group+inc,0,0.0149,0,0,
12:04.9,trans+global+group+inc,0,0.0149,0,0,
21:36.7,trans+global+group+inc,0,0.0149,0,0,
27:19.2,trans+global+group+inc,0,0.0149,0,0,
35:34.8,trans+global+group+inc,0,0.0149,0,0,
42:36.0,trans+global+group+inc,0,0.0149,0,0,
48:27.3,trans+global+group+inc,0,0.0149,0,0,
55:42.2,trans+global+group+inc,0,0.0149,0,0,
01:25.9,trans+global+group+inc,0,0.0149,0,0,
07:10.3,trans+global+group+inc,0,0.0149,0,0,
12:54.4,trans+global+group+inc,0,0.0149,0,0,
18:38.9,trans+global+group+inc,0,0.0149,0,0,
24:26.3,trans+global+group+inc,0,0.0149,0,0,
30:09.3,trans+global+group+inc,0,0.0149,0,0,
38:27.1,trans+global+group+inc,0,0.0149,0,0,
45:43.9,trans+global+group+inc,0,0.0149,0,0,
52:45.0,trans+global+group+inc,0,0.0149,0,0,
58:35.8,trans+global+group+inc,0,0.0149,0,0,
04:23.6,trans+global+group+inc,0,0.0149,0,0,
12:30.3,trans+global+group+inc,0,0.0149,0,0,
19:35.6,trans+global+group+inc,0,0.0149,0,0,
27:26.6,trans+global+group+inc,0,0.0149,0,0,
43:14.8,trans+global+group+inc,0,0.0149,0,0,
48:59.0,trans+global+group+inc,0,0.0149,0,0,
54:41.8,trans+global+group+inc,0,0.0149,0,0,
01:40.8,trans+global+group+inc,0,0.0149,0,0,
07:22.1,trans+global+group+inc,0,0.0149,0,0,
21:16.5,trans+global+group+inc,0,0.0149,0,0,
28:13.2,trans+global+group+inc,0,0.0149,0,0,
33:52.7,trans+global+group+inc,0,0.0149,0,0,
44:44.7,trans+global+group+inc,0,0.0149,0,0,
51:43.2,trans+global+group+inc,0,0.0149,0,0,
59:05.9,trans+global+group+inc,0,0.0149,0,0,
05:07.0,trans+global+group+inc,0,0.0149,0,0,
10:50.8,trans+global+group+inc,0,0.0149,0,0,
18:08.7,trans+global+group+inc,0,0.0149,0,0,
23:49.6,trans+global+group+inc,0,0.0149,0,0,
29:30.6,trans+global+group+inc,0,0.0149,0,0,
35:15.1,trans+global+group+inc,0,0.0149,0,0,
40:56.1,trans+global+group+inc,0,0.0149,0,0,
47:55.2,trans+global+group+inc,0,0.0149,0,0,
53:35.3,trans+global+group+inc,0,0.0149,0,0,
00:47.3,trans+global+group+inc,0,0.0149,0,0,
06:29.8,trans+global+group+inc,0,0.0149,0,0,
13:47.9,trans+global+group+inc,0,0.0149,0,0,
21:24.4,trans+global+group+inc,0,0.0149,0,0,
28:41.7,trans+global+group+inc,0,0.0149,0,0,
39:22.1,trans+global+group+inc,0,0.0149,0,0,
49:20.0,trans+global+group+inc,0,0.0149,0,0,
57:45.0,trans+global+group+inc,0,0.0149,0,0,
04:42.2,trans+global+group+inc,0,0.0149,0,0,
10:26.2,trans+global+group+inc,0,0.0149,0,0,
17:24.7,trans+global+group+inc,0,0.0149,0,0,
26:53.2,trans+global+group+inc,0,0.0149,0,0,
32:35.6,trans+global+group+inc,0,0.0149,0,0,
39:34.4,trans+global+group+inc,0,0.0149,0,0,
46:34.5,trans+global+group+inc,0,0.0149,0,0,
52:18.2,trans+global+group+inc,0,0.0149,0,0,
57:59.4,trans+global+group+inc,0,0.0149,0,0,
06:13.6,trans+global+group+inc,0,0.0149,0,0,
14:24.7,trans+global+group+inc,0,0.0149,0,0,
20:08.9,trans+global+group+inc,0,0.0149,0,0,
28:23.5,trans+global+group+inc,0,0.0149,0,0,
34:04.6,trans+global+group+inc,0,0.0149,0,0,
46:12.1,trans+global+group+inc,1,0.0149,0,0,
51:52.4,trans+global+group+inc,1,0.0149,0,0,
58:48.0,trans+global+group+inc,1,0.0149,0,0,
06:02.0,trans+global+group+inc,1,0.0149,0,0,
14:14.6,trans+global+group+inc,1,0.0149,0,0,
19:57.5,trans+global+group+inc,1,0.0149,0,0,
26:54.4,trans+global+group+inc,1,0.0149,0,0,
32:35.4,trans+global+group+inc,1,0.0149,0,0,
38:15.9,trans+global+group+inc,0,0.0149,0,0,
47:42.9,trans+global+group+inc,0,0.0149,0,0,
57:10.7,trans+global+group+inc,0,0.0149,0,0,
04:38.2,trans+global+group+inc,0,0.0149,0,0,
11:40.5,trans+global+group+inc,0,0.0149,0,0,
19:56.5,trans+global+group+inc,1,0.0149,0,0,
28:08.6,trans+global+group+inc,1,0.0149,0,0,
35:57.5,trans+global+group+inc,1,0.0149,0,0,
42:53.1,trans+global+group+inc,1,0.0149,0,0,
51:06.6,trans+global+group+inc,1,0.0149,0,0,
56:46.5,trans+global+group+inc,0,0.0149,0,0,
03:56.3,trans+global+group+inc,0,0.0149,0,0,
11:37.1,trans+global+group+inc,0,0.0149,0,0,
17:17.5,trans+global+group+inc,0,0.0149,0,0,
24:13.1,trans+global+group+inc,1,0.0149,0,0,
31:11.0,trans+global+group+inc,1,0.0149,0,0,
36:51.1,trans+global+group+inc,1,0.0149,0,0,
44:28.6,trans+global+group+inc,1,0.0149,0,0,
51:25.4,trans+global+group+inc,1,0.0149,0,0,
57:07.3,trans+global+group+inc,1,0.0149,0,0,
02:48.8,trans+global+group+inc,1,0.0149,0,0,
08:31.0,trans+global+group+inc,2,0.0149,0,0,
15:28.6,trans+global+group+inc,2,0.0149,0,0,
21:09.8,trans+global+group+inc,1,0.0149,0,0,
26:52.7,trans+global+group+inc,0,0.0149,0,0,
32:33.6,trans+global+group+inc,0,0.0149,0,0,
38:13.2,trans+global+group+inc,0,0.0149,0,0,
46:26.0,trans+global+group+inc,0,0.0149,0,0,
55:55.3,trans+global+group+inc,0,0.0149,0,0,
03:27.1,trans+global+group+inc,1,0.0149,0,0,
10:43.3,trans+global+group+inc,1,0.0149,0,0,
17:47.5,trans+global+group+inc,1,0.0149,0,0,
23:35.0,trans+global+group+inc,1,0.0149,0,0,
29:20.5,trans+global+group+inc,1,0.0149,0,0,
35:07.8,trans+global+group+inc,1,0.0149,0,0,
48:50.4,trans+global+group+inc,1,0.0149,0,0,
44:30.0,trans+global+group+inc,1,0.0149,1,0,
19:47.0,trans+global+group+inc,2,0.0143,1,0,
38:04.4,trans+global+group+inc,1,0.014,0,0,
43:36.6,trans+global+group+inc,1,0.0139,0,0,
50:24.8,trans+global+group+inc,1,0.0139,0,0,
55:55.8,trans+global+group+inc,0,0.0139,0,0,
05:14.1,trans+global+group+inc,0,0.0139,0,0,
17:12.6,trans+global+group+inc,0,0.0139,0,0,
22:45.4,trans+global+group+inc,0,0.01375,0,0,
28:17.7,trans+global+group+inc,0,0.01335,0,0,
33:50.7,trans+global+group+inc,0,0.01335,0,0,
45:46.6,trans+global+group+inc,0,0.01335,0,0,
51:21.0,trans+global+group+inc,0,0.0134,0,0,
